timestamp	val_bpb	training_seconds	total_seconds	peak_vram_mb	total_tokens_M	num_steps	num_params_M	depth	time_budget
2026-03-18T01:46:32.353751	3.954539	7201.5	7228.9	7455.9	137.9	2104	5.2	4	7200
2026-03-18T07:25:11.007986	2.127223	301.7	325.2	7455.9	7.4	113	5.2	4	300
2026-03-23T00:51:36.435359	4.383176	18494.8	19617.8	7488.0	275.4	4203	5.2	4	18000
